name,slug,created_at,updated_at,id
Fathead,fathead,2020-02-22 16:16:02.710452,2020-02-22 16:16:02.710452,54925b32-f3f5-4f44-b00c-8ffc7b8b8074
Frank Zappa,frank-zappa,2020-02-22 16:16:02.751533,2020-02-22 16:16:02.751533,78bd7e77-52a4-4c6a-8249-646739f80b77
Traffic,traffic,2020-02-22 16:16:02.798607,2020-02-22 16:16:02.798607,70f3d582-9dbb-4f8f-bf05-560ea69c04b1
Mozart,mozart,2020-02-22 16:16:02.901542,2020-02-22 16:16:02.901542,4272bbe8-10d2-469d-819e-ce9a0ff887c1
Charles Gounod,charles-gounod,2020-02-22 16:16:02.963883,2020-02-22 16:16:02.963883,11cf8c23-7bf4-48f8-be21-8fa55906b644
Neil Young,neil-young,2020-02-22 16:16:03.050132,2020-02-22 16:16:03.050132,006715fc-120e-4ac7-9e0b-37ccda4d6aca
Carl Carlton,carl-carlton,2020-02-22 16:16:03.456930,2020-02-22 16:16:03.456930,198854b8-6151-4ac8-8a2d-0ebc633d59ff
Z.Z. Top,z-z-top,2020-02-22 16:16:03.546802,2020-02-22 16:16:03.546802,bd5ac6d8-bc70-4049-8bc6-a15597eeb80e
Grandmaster Flash,grandmaster-flash,2020-02-22 16:16:03.653272,2020-02-22 16:16:03.653272,c280a81a-a99d-4780-b1c9-5739c32979ee
"Gutwillig, Tom McKee",gutwillig-tom-mckee,2020-02-22 16:16:03.775789,2020-02-22 16:16:03.775789,6ee846e6-87c2-4db8-861d-585a32877976
Grateful Dead,grateful-dead,2020-02-22 16:16:03.831788,2020-02-22 16:16:03.831788,cb77be37-5de3-492b-830d-c1f111913758
Buddy Guy,buddy-guy,2020-02-22 16:16:03.882691,2020-02-22 16:16:03.882691,337b1646-6f56-4c72-a5d6-68708d1e71b5
The Doors,the-doors,2020-02-22 16:16:04.132092,2020-02-22 16:16:04.132092,2f423e3a-5bc4-4884-8280-42d14b92be6e
Mike Post,mike-post,2020-02-22 16:16:04.303081,2020-02-22 16:16:04.303081,66ae348b-7c75-4c34-b886-d2d9a99a60a1
Men at Work,men-at-work,2020-02-22 16:16:04.475614,2020-02-22 16:16:04.475614,097215e3-9de0-480e-bdf1-79bfe2a549db
Hayflick,hayflick,2020-02-22 16:16:04.558393,2020-02-22 16:16:04.558393,80a4c9f3-ad6a-44b6-be64-f1c293217988
Vince Guiraldi,vince-guiraldi,2020-02-22 16:16:04.646244,2020-02-22 16:16:04.646244,870e46c5-5a10-40a9-8c55-ae056c144d5f
Rossini,rossini,2020-02-22 16:16:04.755464,2020-02-22 16:16:04.755464,9a7a4328-4639-4bea-88c0-d48548e78f37
